#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:31.01.2019 21:55,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:963.94,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1400°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1300°C,,,,
#SEG. 2:1300°C/10.0(K/min)/1400°C,,,,
#SEG. 3:1400°C/00:15/1400°C,,,,
#SEG. 4:1400°C/04:00/1400°C,,,,
,,,surface area,2.856472
##Temp./°C,Time/min,Mass loss(subtr.)/mg,,
1400.02981,50.5,0.9203498,,
1400.01255,50.75,1.1498969,,
1400.01766,51,1.3755385,,
1400.02193,51.25,1.4986955,,
1400.01899,51.5,1.5453689,,
1400.00959,51.75,1.583493,,
1399.99988,52,1.591839,,
1399.99374,52.25,1.613453,,
1399.98968,52.5,1.6300487,,
1399.98346,52.75,1.6403528,,
1399.982,53,1.6479712,,
1399.98357,53.25,1.6577296,,
1399.98746,53.5,1.6629405,,
1399.99499,53.75,1.6757163,,
1399.99547,54,1.683538,,
1399.99249,54.25,1.694452,,
1399.99077,54.5,1.7023486,,
1399.99367,54.75,1.7115827,,
1399.99842,55,1.7137869,,
1400.00378,55.25,1.7240803,,
1400.00382,55.5,1.7304468,,
1400.00345,55.75,1.7442498,,
1400.00578,56,1.7398735,,
1400.00833,56.25,1.7514295,,
1400.01047,56.5,1.7506377,,
1400.01224,56.75,1.7601607,,
1400.01076,57,1.7591228,,
1400.0126,57.25,1.7633279,,
1400.00969,57.5,1.7663346,,
1400.01094,57.75,1.7740065,,
1400.01129,58,1.7752156,,
1400.01074,58.25,1.7794635,,
1400.01161,58.5,1.7765745,,
1400.01073,58.75,1.7821813,,
1400.00588,59,1.790538,,
1400.00598,59.25,1.7928171,,
1400.00466,59.5,1.7908697,,
1400.00846,59.75,1.7989803,,
