#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:31.01.2019 10:49,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:942.11,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1400°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1300°C,,,,
#SEG. 2:1300°C/10.0(K/min)/1400°C,,,,
#SEG. 3:1400°C/00:15/1400°C,,,,
#SEG. 4:1400°C/04:00/1400°C,,,,
,,,surface area,2.68956
##Temp./°C,Time/min,Mass loss(subtr.)/mg,,
1400.02199,86,1.563196,,
1400.02409,86.25,1.5659105,,
1400.02441,86.5,1.5709657,,
1400.02708,86.75,1.561861,,
1400.02809,87,1.5769376,,
1400.02704,87.25,1.575478,,
1400.0243,87.5,1.5809337,,
1400.02452,87.75,1.5697197,,
1400.0249,88,1.5757183,,
1400.02654,88.25,1.5886233,,
1400.02467,88.5,1.5823043,,
1400.02496,88.75,1.5895934,,
1400.0222,89,1.5901719,,
1400.02571,89.25,1.603869,,
1400.02995,89.5,1.5850455,,
1400.02735,89.75,1.5972474,,
1400.02702,90,1.6042606,,
1400.02573,90.25,1.5992054,,
1400.02538,90.5,1.603157,,
1400.02589,90.75,1.6082567,,
1400.02457,91,1.6103927,,
1400.02471,91.25,1.6061919,,
1400.02569,91.5,1.5952716,,
1400.02614,91.75,1.6116743,,
1400.02766,92,1.6130449,,
1400.02814,92.25,1.6089598,,
1400.0272,92.5,1.611167,,
1400.02617,92.75,1.6132674,,
1400.02633,93,1.6202984,,
1400.02704,93.25,1.6236003,,
1400.02462,93.5,1.6372262,,
1400.02623,93.75,1.637155,,
1400.02152,94,1.6387926,,
1400.02094,94.25,1.6257986,,
1400.02342,94.5,1.6427976,,
1400.02707,94.75,1.6514039,,
1400.02853,95,1.6392287,,
1400.02618,95.25,1.6450137,,
1400.02456,95.5,1.6478172,,
1400.02437,95.75,1.6485826,,
1400.02462,96,1.6523651,,
1400.02402,96.25,1.6537535,,
1400.02355,96.5,1.6519379,,
1400.02317,96.75,1.6510924,,
1400.02234,97,1.6553822,,
1400.0227,97.25,1.6539493,,
1400.02361,97.5,1.6572601,,
1400.02154,97.75,1.6585951,,
1400.02117,98,1.6655282,,
1400.01852,98.25,1.6639529,,
1400.02002,98.5,1.6634545,,
1400.02232,98.75,1.6719985,,
1400.0256,99,1.6726571,,
1400.02552,99.25,1.6754784,,
1400.02289,99.5,1.6842894,,
1400.02512,99.75,1.6808006,,
1400.02493,100,1.6823492,,
1400.02865,100.25,1.6856511,,
1400.02768,100.5,1.6774809,,
1400.02814,100.75,1.6903147,,
1400.02862,101,1.6857223,,
1400.02895,101.25,1.69367,,
1400.02785,101.5,1.6903592,,
1400.02632,101.75,1.6895226,,
1400.02627,102,1.6960819,,
1400.02642,102.25,1.6962777,,
1400.02868,102.5,1.7012973,,
1400.02992,102.75,1.7025522,,
1400.02902,103,1.7029082,,
1400.02752,103.25,1.7037092,,
1400.02818,103.5,1.7038071,,
1400.02761,103.75,1.7137128,,
1400.02963,104,1.7113187,,
1400.02981,104.25,1.7120574,,
1400.0298,104.5,1.7127249,,
1400.0287,104.75,1.7176555,,
1400.02816,105,1.7218563,,
1400.02685,105.25,1.7231735,,
1400.02277,105.5,1.7233693,,
1400.02455,105.75,1.7214736,,
1400.02218,106,1.7201475,,
1400.02657,106.25,1.7270628,,
1400.02533,106.5,1.7300087,,
1400.02525,106.75,1.7314416,,
1400.02539,107,1.72749,,
1400.02717,107.25,1.7346456,,
1400.02657,107.5,1.740395,,
1400.02679,107.75,1.7426289,,
1400.02219,108,1.7440707,,
1400.02275,108.25,1.7443822,,
1400.02462,108.5,1.7459664,,
1400.02927,108.75,1.7489746,,
1400.02842,109,1.744489,,
1400.02751,109.25,1.750096,,
1400.02592,109.5,1.7454146,,
1400.02377,109.75,1.7566464,,
1400.02516,110,1.7767248,,
1400.02719,110.25,1.7655375,,
1400.03088,110.5,1.7545193,,
1400.03329,110.75,1.7644517,,
1400.02967,111,1.7501227,,
1400.02685,111.25,1.7718209,,
1400.02548,111.5,1.7716874,,
1400.02279,111.75,1.7699163,,
1400.02002,112,1.7670594,,
1400.02146,112.25,1.7700854,,
1400.02268,112.5,1.7661872,,
1400.02433,112.75,1.7765023,,
1400.02699,113,1.7780153,,
1400.02525,113.25,1.7732182,,
1400.02865,113.5,1.7789053,,
1400.02979,113.75,1.775906,,
1400.03101,114,1.7879477,,
1400.03153,114.25,1.7836579,,
1400.02897,114.5,1.7786205,,
1400.0282,114.75,1.7843788,,
1400.0275,115,1.7753097,,
1400.0258,115.25,1.7885084,,
1400.02405,115.5,1.7882948,,
1400.02462,115.75,1.7915522,,
1400.02561,116,1.7923621,,
1400.02616,116.25,1.7976932,,
1400.02522,116.5,1.8047331,,
1400.0253,116.75,1.8037986,,
1400.02714,117,1.8078659,,
1400.02795,117.25,1.8028908,,
1400.02763,117.5,1.7980759,,
1400.02752,117.75,1.808302,,
1400.0285,118,1.813108,,
1400.02936,118.25,1.8175046,,
1400.02935,118.5,1.8006391,,
1400.02901,118.75,1.8151194,,
1400.02825,119,1.8223996,,
1400.02737,119.25,1.8259062,,
1400.02669,119.5,1.8203259,,
1400.02658,119.75,1.8192312,,
1400.02547,120,1.8276239,,
1400.02176,120.25,1.8219813,,
1400.02395,120.5,1.8335691,,
1400.02607,120.75,1.8304185,,
1400.03045,121,1.8346727,,
1400.03051,121.25,1.8322252,,
1400.02779,121.5,1.8339251,,
1400.02617,121.75,1.8450857,,
1400.02718,122,1.8226399,,
1400.02699,122.25,1.8375385,,
1400.02892,122.5,1.8332398,,
1400.0261,122.75,1.8410718,,
1400.02179,123,1.8409205,,
1400.02216,123.25,1.8458422,,
1400.02582,123.5,1.8419173,,
1400.03111,123.75,1.848708,,
1400.03097,124,1.8444805,,
1400.03038,124.25,1.8548223,,
1400.02709,124.5,1.8512445,,
1400.02672,124.75,1.8481206,,
1400.02532,125,1.8518319,,
1400.02652,125.25,1.8532381,,
1400.02867,125.5,1.8615685,,
1400.02918,125.75,1.8592011,,
1400.02694,126,1.8615329,,
1400.02442,126.25,1.87078,,
1400.0236,126.5,1.8675938,,
1400.02401,126.75,1.8708957,,
1400.02529,127,1.8655913,,
1400.02543,127.25,1.8643186,,
1400.02615,127.5,1.8719281,,
1400.02645,127.75,1.881371,,
1400.02582,128,1.8801072,,
1400.02599,128.25,1.877633,,
1400.02743,128.5,1.8800093,,
1400.02793,128.75,1.878612,,
1400.02913,129,1.8777487,,
1400.02907,129.25,1.8774372,,
1400.02963,129.5,1.8935017,,
1400.02895,129.75,1.8871204,,
1400.03105,130,1.8916416,,
1400.03034,130.25,1.8856964,,
1400.02735,130.5,1.8916861,,
1400.02925,130.75,1.9002123,,
1400.02751,131,1.8988684,,
1400.02936,131.25,1.9004615,,
1400.02907,131.5,1.8974978,,
1400.02533,131.75,1.9045466,,
1400.02456,132,1.8886334,,
1400.02408,132.25,1.9062732,,
1400.02636,132.5,1.8986103,,
1400.02607,132.75,1.9049471,,
1400.02422,133,1.8962785,,
1400.02701,133.25,1.9080799,,
1400.02693,133.5,1.9073056,,
1400.03245,133.75,1.9171045,,
1400.02745,134,1.9176563,,
1400.02803,134.25,1.9162234,,
1400.02654,134.5,1.9228806,,
1400.02804,134.75,1.9119959,,
1400.02571,135,1.9251056,,
1400.02793,135.25,1.926138,,
1400.02612,135.5,1.9188489,,
1400.02446,135.75,1.9232544,,
1400.02064,136,1.9278646,,
1400.02076,136.25,1.9295378,,
1400.02254,136.5,1.9361505,,
1400.02756,136.75,1.9262181,,
1400.02488,137,1.934593,,
1400.02212,137.25,1.9399152,,
1400.02221,137.5,1.9380818,,
1400.02293,137.75,1.9333559,,
1400.02635,138,1.934771,,
1400.03063,138.25,1.941357,,
1400.02945,138.5,1.9270547,,
1400.0277,138.75,1.9524019,,
1400.0276,139,1.9503816,,
1400.03033,139.25,1.9513784,,
1400.03062,139.5,1.9509779,,
1400.02901,139.75,1.937085,,
1400.0286,140,1.9552855,,
1400.02919,140.25,1.9575639,,
1400.0291,140.5,1.9577864,,
1400.02687,140.75,1.9522951,,
1400.0243,141,1.9570388,,
1400.02614,141.25,1.9643724,,
1400.02803,141.5,1.9669267,,
1400.02799,141.75,1.9657519,,
1400.02798,142,1.9645326,,
1400.02683,142.25,1.961293,,
1400.0268,142.5,1.9564069,,
1400.02716,142.75,1.9718395,,
1400.0276,143,1.9635091,,
1400.02736,143.25,1.9608925,,
1400.02514,143.5,1.9715458,,
1400.0262,143.75,1.964497,,
1400.0264,144,1.9766811,,
1400.02733,144.25,1.9759157,,
1400.02764,144.5,1.9820389,,
1400.02743,144.75,1.9834362,,
1400.02807,145,1.9838456,,
1400.02619,145.25,1.9785857,,
1400.02501,145.5,1.9698904,,
1400.02627,145.75,1.9791553,,
1400.02748,146,1.9961899,,
1400.03082,146.25,1.998228,,
1400.02656,146.5,1.9839346,,
1400.02457,146.75,1.9811222,,
1400.02605,147,1.9926833,,
1400.03018,147.25,2.0039418,,
1400.03746,147.5,1.9859282,,
1400.03615,147.75,1.9965637,,
1400.03403,148,1.9974715,,
1400.03194,148.25,2.0110262,,
1400.02663,148.5,2.0060244,,
1400.02552,148.75,2.0166866,,
1400.02376,149,2.0059443,,
1400.02498,149.25,1.9936267,,
1400.022,149.5,2.0101718,,
1400.02413,149.75,2.0236998,,
1400.02441,150,2.002233,,
1400.03038,150.25,2.0105812,,
1400.02947,150.5,2.0046894,,
1400.02991,150.75,2.0215549,,
1400.02682,151,2.0249636,,
1400.0254,151.25,2.0143281,,
1400.02623,151.5,2.0206649,,
1400.02433,151.75,2.0305172,,
1400.02828,152,2.0245275,,
1400.02382,152.25,2.0154584,,
