#EXPORTTYPE:DATA SINGLE,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:25.01.2019 23:17,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:950.91,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:1200ÁC/04:00/1200ÁC,,,,
#SEGMENT:S4/4,,,,
#SEG. 4:1200ÁC/04:00/1200ÁC,,,,
,,,surface area,2.594946
##Temp./ÁC,Time/min,Mass loss/mg,,
1200.01224,85.25,1.137444,,
1200.00822,85.5,1.154087,,
1200.01125,85.75,1.156804,,
1200.01643,86,1.144594,,
1200.01882,86.25,1.161941,,
1200.0172,86.5,1.174536,,
1200.01597,86.75,1.166418,,
1200.01449,87,1.165978,,
1200.01527,87.25,1.161105,,
1200.01565,87.5,1.171874,,
1200.01812,87.75,1.166506,,
1200.01915,88,1.157838,,
1200.01776,88.25,1.172622,,
1200.01337,88.5,1.170499,,
1200.01462,88.75,1.168365,,
1200.01868,89,1.173018,,
1200.0233,89.25,1.170587,,
1200.0214,89.5,1.164515,,
1200.0207,89.75,1.174591,,
1200.01959,90,1.174173,,
1200.01765,90.25,1.163998,,
1200.01717,90.5,1.176131,,
1200.01638,90.75,1.179123,,
1200.01348,91,1.173062,,
1200.01481,91.25,1.174833,,
1200.01459,91.5,1.179046,,
1200.01836,91.75,1.185866,,
1200.0193,92,1.185338,,
1200.01881,92.25,1.178738,,
1200.01713,92.5,1.182984,,
1200.01512,92.75,1.187032,,
1200.01623,93,1.194754,,
1200.01404,93.25,1.188869,,
1200.01244,93.5,1.187505,,
1200.01539,93.75,1.188792,,
1200.01568,94,1.189936,,
1200.01801,94.25,1.19273,,
1200.01477,94.5,1.207008,,
1200.01419,94.75,1.198857,,
1200.0133,95,1.162579,,
1200.0169,95.25,1.185426,,
1200.01838,95.5,1.187692,,
1200.02072,95.75,1.193335,,
1200.01887,96,1.170829,,
1200.01625,96.25,1.185591,,
1200.0173,96.5,1.207822,,
1200.01742,96.75,1.196107,,
1200.02163,97,1.203059,,
1200.01994,97.25,1.205589,,
1200.01846,97.5,1.201706,,
1200.01774,97.75,1.202575,,
1200.01644,98,1.214873,,
1200.01746,98.25,1.208768,,
1200.01882,98.5,1.215929,,
1200.02029,98.75,1.212849,,
1200.02107,99,1.205358,,
1200.02264,99.25,1.210814,,
1200.02379,99.5,1.213399,,
1200.02316,99.75,1.213542,,
1200.02219,100,1.212123,,
1200.02059,100.25,1.217634,,
1200.02064,100.5,1.214312,,
1200.01849,100.75,1.210715,,
1200.01706,101,1.214312,,
1200.01661,101.25,1.218481,,
1200.01354,101.5,1.218932,,
1200.01488,101.75,1.218415,,
1200.01582,102,1.212673,,
1200.01913,102.25,1.218415,,
1200.01858,102.5,1.219834,,
1200.01869,102.75,1.226335,,
1200.01853,103,1.223695,,
1200.01752,103.25,1.220065,,
1200.01604,103.5,1.22716,,
1200.01713,103.75,1.223079,,
1200.01711,104,1.227402,,
1200.0168,104.25,1.230218,,
1200.01801,104.5,1.223156,,
1200.01703,104.75,1.223651,,
1200.01755,105,1.227116,,
1200.01542,105.25,1.234068,,
1200.01619,105.5,1.227501,,
1200.01588,105.75,1.239194,,
1200.01772,106,1.231406,,
1200.01737,106.25,1.23024,,
1200.01661,106.5,1.238325,,
1200.01678,106.75,1.234464,,
1200.01485,107,1.240019,,
1200.01683,107.25,1.237819,,
1200.01507,107.5,1.232209,,
1200.01441,107.75,1.235718,,
1200.01501,108,1.239051,,
1200.01651,108.25,1.241482,,
1200.01676,108.5,1.241592,,
1200.01636,108.75,1.245255,,
1200.01837,109,1.243385,,
1200.01389,109.25,1.232506,,
1200.01616,109.5,1.235036,,
1200.01607,109.75,1.24432,,
1200.01885,110,1.261326,,
1200.01509,110.25,1.264626,,
1200.013,110.5,1.259027,,
1200.01167,110.75,1.253164,,
1200.01465,111,1.25279,,
1200.01551,111.25,1.252174,,
1200.0162,111.5,1.251481,,
1200.01427,111.75,1.251019,,
1200.01404,112,1.25741,,
1200.01358,112.25,1.261326,,
1200.01219,112.5,1.264549,,
1200.01328,112.75,1.26665,,
1200.01531,113,1.265748,,
1200.01708,113.25,1.266716,,
1200.02016,113.5,1.260094,,
1200.02281,113.75,1.266441,,
1200.02253,114,1.265341,,
1200.02411,114.25,1.263152,,
1200.02254,114.5,1.264725,,
1200.02116,114.75,1.269202,,
1200.02126,115,1.242043,,
1200.02216,115.25,1.270775,,
1200.02366,115.5,1.273063,,
1200.02522,115.75,1.271677,,
1200.0246,116,1.265847,,
1200.01981,116.25,1.272282,,
1200.01811,116.5,1.272975,,
1200.01582,116.75,1.273184,,
1200.01768,117,1.270852,,
1200.01776,117.25,1.280147,,
1200.0147,117.5,1.27886,,
1200.0136,117.75,1.278354,,
1200.01036,118,1.279245,,
1200.0154,118.25,1.280147,,
1200.0157,118.5,1.280873,,
1200.01587,118.75,1.279267,,
1200.01291,119,1.284261,,
1200.01192,119.25,1.281346,,
1200.01395,119.5,1.283073,,
1200.01767,119.75,1.283491,,
1200.02149,120,1.280466,,
1200.01744,120.25,1.286021,,
1200.01486,120.5,1.292665,,
1200.00994,120.75,1.286758,,
1200.01059,121,1.286923,,
1200.01119,121.25,1.296702,,
1200.01509,121.5,1.296438,,
1200.019,121.75,1.289937,,
1200.01714,122,1.298198,,
1200.01802,122.25,1.296922,,
1200.01754,122.5,1.293897,,
1200.02034,122.75,1.294909,,
1200.02057,123,1.301036,,
1200.01755,123.25,1.294744,,
1200.01747,123.5,1.301608,,
1200.01846,123.75,1.299584,,
1200.02058,124,1.300805,,
1200.02432,124.25,1.292984,,
1200.02175,124.5,1.309319,,
1200.02192,124.75,1.301223,,
1200.02144,125,1.299419,,
1200.02185,125.25,1.301762,,
1200.02148,125.5,1.303082,,
1200.0198,125.75,1.308164,,
1200.01863,126,1.307427,,
1200.01876,126.25,1.305326,,
1200.02177,126.5,1.304644,,
1200.02204,126.75,1.312234,,
1200.02135,127,1.315006,,
1200.02023,127.25,1.313752,,
1200.01859,127.5,1.308912,,
1200.0168,127.75,1.313158,,
1200.01608,128,1.312751,,
1200.01265,128.25,1.322706,,
1200.01338,128.5,1.310639,,
1200.01473,128.75,1.311508,,
1200.01728,129,1.314742,,
1200.01921,129.25,1.314038,,
1200.01839,129.5,1.313873,,
1200.01829,129.75,1.32187,,
1200.01945,130,1.316062,,
1200.01914,130.25,1.317646,,
1200.02058,130.5,1.322288,,
1200.01798,130.75,1.317173,,
1200.01722,131,1.31769,,
1200.01509,131.25,1.324246,,
1200.01803,131.5,1.323036,,
1200.01747,131.75,1.328415,,
1200.02069,132,1.316634,,
1200.02134,132.25,1.329196,,
1200.02279,132.5,1.33111,,
1200.01898,132.75,1.319494,,
1200.01729,133,1.337831,,
1200.0167,133.25,1.325115,,
1200.01577,133.5,1.328558,,
1200.01654,133.75,1.332639,,
1200.01535,134,1.328635,,
1200.01635,134.25,1.333156,,
1200.01676,134.5,1.339569,,
1200.01891,134.75,1.336236,,
1200.01754,135,1.333321,,
1200.01589,135.25,1.337281,,
1200.01513,135.5,1.339074,,
1200.01323,135.75,1.344046,,
1200.01628,136,1.339173,,
1200.01558,136.25,1.334597,,
1200.01205,136.5,1.345564,,
1200.00855,136.75,1.348006,,
1200.00818,137,1.341769,,
1200.00864,137.25,1.346378,,
1200.01578,137.5,1.340592,,
1200.01973,137.75,1.346125,,
1200.02218,138,1.34398,,
1200.02284,138.25,1.346664,,
1200.01992,138.5,1.355189,,
1200.01826,138.75,1.34926,,
1200.01769,139,1.344992,,
1200.01555,139.25,1.338161,,
1200.01743,139.5,1.361646,,
1200.01582,139.75,1.357752,,
1200.01483,140,1.357895,,
1200.01584,140.25,1.35212,,
1200.01439,140.5,1.354606,,
1200.01572,140.75,1.348985,,
1200.01478,141,1.360964,,
1200.01566,141.25,1.355706,,
1200.01773,141.5,1.35201,,
1200.01869,141.75,1.362735,,
1200.01497,142,1.36004,,
1200.01468,142.25,1.35905,,
1200.01494,142.5,1.355167,,
1200.0171,142.75,1.36235,,
1200.0205,143,1.35509,,
1200.0194,143.25,1.35476,,
1200.01985,143.5,1.360832,,
1200.0179,143.75,1.36851,,
1200.01684,144,1.371656,,
1200.01641,144.25,1.367113,,
1200.01769,144.5,1.369071,,
1200.01732,144.75,1.366057,,
1200.01553,145,1.360645,,
1200.0175,145.25,1.366387,,
1200.01551,145.5,1.357444,,
