#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:30.01.2019 17:10,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:887.43,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1350°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1250°C,,,,
#SEG. 2:1250°C/10.0(K/min)/1350°C,,,,
#SEG. 3:1350°C/00:15/1350°C,,,,
#SEG. 4:1350°C/04:00/1350°C,,,,
,,,surface area,2.537856
##Temp./°C,Time/min,Mass loss(subtr.)/mg,,
1350.02745,49.5,1.1126388,,
1350.01054,49.75,1.1318116,,
1350.01932,50,1.11619,,
1350.02843,50.25,1.0991056,,
1350.03955,50.5,1.1177816,,
1350.03328,50.75,1.1181312,,
1350.02063,51,1.1187016,,
1350.00801,51.25,1.11803,,
1349.99798,51.5,1.127644,,
1349.99223,51.75,1.1162452,,
1349.98785,52,1.1227036,,
1349.98554,52.25,1.1432656,,
1349.98379,52.5,1.1306616,,
1349.98269,52.75,1.131876,,
1349.98145,53,1.1398984,,
1349.97934,53.25,1.1474332,,
1349.98148,53.5,1.1507544,,
1349.98382,53.75,1.1481692,,
1349.99428,54,1.1350408,,
1350.00034,54.25,1.151978,,
1350.00211,54.5,1.1583996,,
1350.00116,54.75,1.1620336,,
1350.00117,55,1.1623832,,
1350.00214,55.25,1.1589792,,
1350.0061,55.5,1.1568816,,
1350.00623,55.75,1.1715096,,
1350.0066,56,1.1708104,,
1350.00431,56.25,1.1725768,,
1350.00471,56.5,1.1685656,,
1350.00815,56.75,1.16587,,
1350.00997,57,1.1730736,,
1350.01422,57.25,1.1802404,,
1350.0136,57.5,1.1743064,,
1350.01116,57.75,1.1778208,,
1350.01298,58,1.1882444,,
1350.01473,58.25,1.182476,,
1350.01782,58.5,1.1830464,,
1350.01968,58.75,1.1813628,,
1350.01716,59,1.1894588,,
1350.01143,59.25,1.2001124,,
1350.01045,59.5,1.19186,,
1350.01358,59.75,1.2102048,,
1350.01758,60,1.1920348,,
1350.02066,60.25,1.2034612,,
1350.01881,60.5,1.2013176,,
1350.0168,60.75,1.2116308,,
1350.0175,61,1.2162308,,
1350.01711,61.25,1.2240048,,
1350.01732,61.5,1.2199568,,
1350.02129,61.75,1.2155592,,
1350.01787,62,1.2196164,,
1350.02177,62.25,1.2320364,,
1350.02198,62.5,1.2286876,,
1350.02192,62.75,1.2396908,,
1350.02222,63,1.2283288,,
1350.02105,63.25,1.2509516,,
1350.02492,63.5,1.2299296,,
1350.02393,63.75,1.2199844,,
1350.02394,64,1.2339592,,
1350.02389,64.25,1.2359924,,
1350.02351,64.5,1.2453948,,
1350.02585,64.75,1.2514208,,
1350.02651,65,1.2420552,,
1350.02801,65.25,1.2483756,,
1350.02794,65.5,1.2646596,,
1350.02833,65.75,1.2491484,,
1350.02487,66,1.2464896,,
1350.02224,66.25,1.2596088,,
1350.02311,66.5,1.2625344,,
1350.02711,66.75,1.2572904,,
1350.03135,67,1.2632612,,
1350.03293,67.25,1.2704924,,
1350.02911,67.5,1.2723048,,
1350.02484,67.75,1.2737492,,
1350.02401,68,1.2687812,,
1350.02691,68.25,1.2724888,,
1350.02789,68.5,1.275074,,
1350.02794,68.75,1.2840348,,
1350.02542,69,1.2797752,,
1350.02648,69.25,1.2759756,,
1350.02312,69.5,1.2750096,,
1350.02923,69.75,1.2774016,,
1350.02997,70,1.2960316,,
1350.02983,70.25,1.298212,,
1350.0287,70.5,1.290438,,
1350.02462,70.75,1.2888832,,
1350.02625,71,1.3151952,,
1350.02927,71.25,1.3020576,,
1350.03059,71.5,1.3010916,,
1350.02878,71.75,1.3079732,,
1350.028,72,1.3014872,,
1350.02298,72.25,1.3188936,,
1350.02305,72.5,1.3123432,,
1350.02485,72.75,1.3261064,,
1350.0273,73,1.3198504,,
1350.02825,73.25,1.319188,,
1350.02666,73.5,1.3190684,,
1350.02537,73.75,1.3098224,,
1350.02936,74,1.3266676,,
1350.0302,74.25,1.321764,,
1350.03051,74.5,1.3355456,,
1350.03231,74.75,1.3275232,,
1350.0295,75,1.3385816,,
1350.02983,75.25,1.3431172,,
1350.02819,75.5,1.3374408,,
1350.03011,75.75,1.3458404,,
1350.02813,76,1.3315896,,
1350.02857,76.25,1.3483336,,
1350.02784,76.5,1.3453804,,
1350.02651,76.75,1.3439728,,
1350.02916,77,1.339612,,
1350.03251,77.25,1.3454172,,
1350.03565,77.5,1.3475148,,
1350.03579,77.75,1.3523724,,
1350.03163,78,1.3520136,,
1350.03065,78.25,1.3531728,,
1350.03018,78.5,1.3509004,,
1350.02979,78.75,1.3620784,,
1350.02783,79,1.3678652,,
1350.02525,79.25,1.3582604,,
1350.02615,79.5,1.3676076,,
1350.02496,79.75,1.3761268,,
1350.03223,80,1.3741304,,
1350.03322,80.25,1.3730172,,
1350.03696,80.5,1.3738176,,
1350.03327,80.75,1.3693188,,
1350.0335,81,1.3789328,,
1350.03228,81.25,1.385014,,
1350.03332,81.5,1.3848208,,
1350.02957,81.75,1.380552,,
1350.02457,82,1.3860444,,
1350.02478,82.25,1.3840296,,
1350.02599,82.5,1.3864584,,
1350.03246,82.75,1.3889976,,
