#EXPORTTYPE:DATA SINGLE,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:26.01.2019 23:45,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:922.77,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:1200°C/04:00/1200°C,,,,
#SEGMENT:S4/4,,,,
#SEG. 4:1200°C/04:00/1200°C,,,,
,,,surface area,2.586856
##Temp./°C,Time/min,Mass loss(subtr.)/mg,,
1200.0254,46.5,2.84E-01,,
1199.96975,46.75,0.4396772,,
1199.96636,47,0.5955068,,
1199.97701,47.25,0.676936,,
1199.99126,47.5,0.705778,,
1199.99056,47.75,0.7233408,,
1199.98187,48,0.7327064,,
1199.97099,48.25,0.7392016,,
1199.9582,48.5,0.7413544,,
1199.95136,48.75,0.7442432,,
1199.94716,49,0.747362,,
1199.95005,49.25,0.748926,,
1199.95412,49.5,0.7492112,,
1199.95617,49.75,0.7516124,,
1199.95346,50,0.7523116,,
1199.95434,50.25,0.7597176,,
1199.95525,50.5,0.7547772,,
1199.95544,50.75,0.7522472,,
1199.95662,51,0.7547128,,
1199.95291,51.25,0.7613644,,
1199.95433,51.5,0.7577028,,
1199.95784,51.75,0.7609044,,
1199.96193,52,0.7622108,,
1199.96504,52.25,0.7597728,,
1199.9654,52.5,0.7638668,,
1199.96873,52.75,0.7641704,,
1199.97608,53,0.7648328,,
1199.97888,53.25,0.7753852,,
1199.98132,53.5,0.7689268,,
1199.9814,53.75,0.7736096,,
1199.98239,54,0.7748516,,
1199.9839,54.25,0.7837388,,
1199.98441,54.5,0.7759004,,
1199.98115,54.75,0.7794792,,
1199.98128,55,0.7789364,,
1199.98296,55.25,0.7795436,,
1199.98764,55.5,0.7866644,,
1199.99012,55.75,0.783978,,
1199.98981,56,0.7920464,,
1199.99278,56.25,0.7870416,,
1199.99599,56.5,0.7962324,,
1199.99606,56.75,0.796076,,
1199.99724,57,0.7945764,,
1199.99815,57.25,0.7957448,,
1199.99901,57.5,0.7982656,,
1199.99991,57.75,0.8012832,,
1200.00074,58,0.7970604,,
1199.9999,58.25,0.8006392,,
1199.99751,58.5,0.8073276,,
1199.99763,58.75,0.805644,,
1199.99773,59,0.7932056,,
1200.0017,59.25,0.805598,,
1200.0026,59.5,0.8080452,,
1200.0024,59.75,0.7998664,,
1200.00351,60,0.8082292,,
1200.00216,60.25,0.8106304,,
1200.00219,60.5,0.806472,,
1200.00291,60.75,0.8108144,,
1200.0038,61,0.8098852,,
1200.00203,61.25,0.8169508,,
1200.00225,61.5,0.808358,,
1200.00243,61.75,0.8131788,,
1200.00348,62,0.8127924,,
1200.00721,62.25,0.8156076,,
1200.00768,62.5,0.8223512,,
1200.01155,62.75,0.80753,,
1200.01037,63,0.8154512,,
1200.01065,63.25,0.8226364,,
1200.01055,63.5,0.81558,,
1200.01168,63.75,0.8224248,,
1200.01132,64,0.8253136,,
1200.01113,64.25,0.8223328,,
1200.01149,64.5,0.8215048,,
1200.01152,64.75,0.8258932,,
1200.01346,65,0.822342,,
1200.01446,65.25,0.8305024,,
1200.0147,65.5,0.827724,,
1200.01338,65.75,0.8303552,,
1200.01276,66,0.8341364,,
1200.01331,66.25,0.8376692,,
1200.01102,66.5,0.8405396,,
1200.01325,66.75,0.837476,,
1200.01188,67,0.8348172,,
1200.0141,67.25,0.8339984,,
1200.01682,67.5,0.8396472,,
1200.01779,67.75,0.8439068,,
1200.01287,68,0.8454708,,
1200.01115,68.25,0.8424992,,
1200.00914,68.5,0.8391872,,
1200.01199,68.75,0.8414688,,
