#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:31.01.2019 00:25,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:DS,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:872.52,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1350°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1250°C,,,,
#SEG. 2:1250°C/10.0(K/min)/1350°C,,,,
#SEG. 3:1350°C/00:15/1350°C,,,,
#SEG. 4:1350°C/04:00/1350°C,,,,
,,,surface area,2.519378
##Temp./°C,Time/min,Mass loss/mg,,
1350.03404,85.25,2.8943136,,
1350.03395,85.5,2.8920024,,
1350.03199,85.75,2.9007072,,
1350.02974,86,2.895156,,
1350.02979,86.25,2.8942596,,
1350.03031,86.5,2.9039364,,
1350.03203,86.75,2.8992168,,
1350.03037,87,2.9000916,,
1350.0294,87.25,2.9132676,,
1350.03189,87.5,2.926044,,
1350.0316,87.75,2.9007072,,
1350.0291,88,2.9134836,,
1350.02748,88.25,2.9264004,,
1350.02601,88.5,2.9200608,,
1350.02734,88.75,2.9241108,,
1350.02816,89,2.9332908,,
1350.02984,89.25,2.9331828,,
1350.02909,89.5,2.9391876,,
1350.02686,89.75,2.925936,,
1350.02453,90,2.9178684,,
1350.02614,90.25,2.941488,,
1350.0293,90.5,2.9378052,,
1350.03461,90.75,2.9447712,,
1350.03357,91,2.9334636,,
1350.03099,91.25,2.9283012,,
1350.02839,91.5,2.9404296,,
1350.02878,91.75,2.9423844,,
1350.02767,92,2.9495124,,
1350.02751,92.25,2.9548692,,
1350.02809,92.5,2.951424,,
1350.02848,92.75,2.9559816,,
1350.0301,93,2.949372,,
1350.03022,93.25,2.9619432,,
1350.03419,93.5,2.9585088,,
1350.03634,93.75,2.9525364,,
1350.03787,94,2.9648916,,
1350.0345,94.25,2.9714796,,
1350.03152,94.5,2.9668032,,
1350.02876,94.75,2.980368,,
1350.02617,95,2.990358,,
1350.02505,95.25,2.9858544,,
1350.0253,95.5,2.98539,,
1350.02566,95.75,2.9883384,,
1350.0289,96,2.9836728,,
1350.02851,96.25,2.9987388,,
1350.0298,96.5,2.9939004,,
1350.0306,96.75,2.9951316,,
1350.03181,97,2.9936628,,
1350.03197,97.25,3.005802,,
1350.03068,97.5,3.0057696,,
1350.02266,97.75,3.0109212,,
1350.01743,98,3.0111588,,
1350.02101,98.25,3.0111156,,
1350.02667,98.5,3.0078,,
1350.03415,98.75,3.0113856,,
1350.0333,99,3.0188484,,
1350.03068,99.25,3.015846,,
1350.03004,99.5,3.0166452,,
1350.03117,99.75,3.031668,,
1350.03,100,3.0317436,,
1350.03059,100.25,3.0247884,,
1350.03084,100.5,3.022812,,
1350.03052,100.75,3.0249396,,
1350.03144,101,3.0263004,,
