#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:29.01.2019 20:56,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:919.29,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1350°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1250°C,,,,
#SEG. 2:1250°C/10.0(K/min)/1350°C,,,,
#SEG. 3:1350°C/00:15/1350°C,,,,
#SEG. 4:1350°C/04:00/1350°C,,,,
,,,surface area,2.586856
##Temp./°C,Time/min,Mass loss(subtr.)/mg,,
1350.03184,49.5,0.8489016,,
1350.03462,49.75,0.961146,,
1350.06705,50,0.9939456,,
1350.08901,50.25,1.0148004,,
1350.08589,50.5,1.0389492,,
1350.06409,50.75,1.0391004,,
1350.03966,51,1.0527516,,
1350.02128,51.25,1.0715652,,
1350.00616,51.5,1.0797084,,
1349.99547,51.75,1.095174,,
1349.98643,52,1.1066328,,
1349.98206,52.25,1.1230812,,
1349.97948,52.5,1.1193444,,
1349.982,52.75,1.1286648,,
1349.97936,53,1.1496168,,
1349.98085,53.25,1.1564424,,
1349.98238,53.5,1.1639268,,
1349.98748,53.75,1.1785824,,
1349.99229,54,1.1776752,,
1349.99508,54.25,1.1867256,,
1349.99366,54.5,1.1963052,,
1349.99242,54.75,1.200906,,
1349.99167,55,1.2114684,,
1349.99294,55.25,1.2135852,,
1349.99508,55.5,1.2214692,,
1349.99801,55.75,1.2263076,,
1349.99932,56,1.2323556,,
1350.00268,56.25,1.2363948,,
1350.00559,56.5,1.2437496,,
1350.00849,56.75,1.2484692,,
1350.00984,57,1.2560616,,
1350.00894,57.25,1.2590964,,
1350.00828,57.5,1.2599064,,
1350.00937,57.75,1.2629196,,
1350.01013,58,1.2779208,,
1350.01088,58.25,1.2752964,,
1350.00624,58.5,1.2830292,,
1350.00605,58.75,1.291032,,
1350.01034,59,1.3017564,,
1350.01891,59.25,1.3056552,,
1350.02448,59.5,1.3060872,,
1350.02368,59.75,1.3214556,,
1350.02112,60,1.3125024,,
1350.01827,60.25,1.3256352,,
1350.0186,60.5,1.3223844,,
1350.01735,60.75,1.3310028,,
1350.01911,61,1.344222,,
1350.01938,61.25,1.3547844,,
1350.02336,61.5,1.353456,,
1350.02286,61.75,1.3507668,,
1350.0231,62,1.35621,,
1350.0226,62.25,1.3740948,,
1350.02106,62.5,1.3710816,,
1350.01876,62.75,1.386612,,
1350.01833,63,1.3707144,,
1350.02076,63.25,1.396062,,
1350.01886,63.5,1.3808664,,
1350.01839,63.75,1.376028,,
1350.01816,64,1.3951116,,
1350.01917,64.25,1.3919796,,
1350.01756,64.5,1.4018508,,
1350.02272,64.75,1.41372,,
1350.02487,65,1.4072508,,
1350.02519,65.25,1.4059872,,
1350.0267,65.5,1.4269068,,
1350.02512,65.75,1.4125104,,
1350.02996,66,1.4135148,,
1350.02858,66.25,1.4291532,,
1350.02832,66.5,1.4363568,,
1350.03029,66.75,1.4327712,,
1350.02791,67,1.4399748,,
1350.03089,67.25,1.4437548,,
1350.02835,67.5,1.4455692,,
1350.03132,67.75,1.449954,,
1350.02996,68,1.448766,,
1350.02295,68.25,1.4583996,,
1350.02271,68.5,1.4529024,,
1350.0207,68.75,1.4680764,,
1350.02417,69,1.4691996,,
1350.02464,69.25,1.4706468,,
1350.02499,69.5,1.464966,,
1350.02653,69.75,1.4709816,,
1350.0293,70,1.4867712,,
1350.02906,70.25,1.4876136,,
1350.0283,70.5,1.4812632,,
1350.02644,70.75,1.4853888,,
1350.02548,71,1.5087708,,
1350.02592,71.25,1.4981112,,
1350.02835,71.5,1.501254,,
1350.02998,71.75,1.5032088,,
1350.02503,72,1.5052068,,
1350.02546,72.25,1.5130368,,
1350.02859,72.5,1.5093,,
1350.0341,72.75,1.5312024,,
1350.03217,73,1.527768,,
1350.02743,73.25,1.5190632,,
1350.02482,73.5,1.5307272,,
1350.02255,73.75,1.5205428,,
1350.02905,74,1.5344532,,
1350.02903,74.25,1.5303492,,
1350.03373,74.5,1.5414732,,
1350.03004,74.75,1.5418512,,
1350.02514,75,1.5590232,,
1350.02313,75.25,1.5595956,,
1350.02544,75.5,1.554012,,
1350.0263,75.75,1.566324,,
1350.02413,76,1.5558048,,
1350.02204,76.25,1.5690348,,
1350.02455,76.5,1.565622,,
1350.02712,76.75,1.5740028,,
1350.02882,77,1.564704,,
1350.02932,77.25,1.5734844,,
1350.03038,77.5,1.5729444,,
1350.03524,77.75,1.5747156,,
1350.03538,78,1.5823188,,
1350.03359,78.25,1.5777288,,
1350.03182,78.5,1.5851916,,
1350.02906,78.75,1.6003008,,
1350.02561,79,1.5991128,,
1350.02464,79.25,1.5915636,,
1350.02689,79.5,1.5932484,,
1350.02946,79.75,1.6113168,,
1350.02927,80,1.599102,,
1350.02664,80.25,1.6118568,,
1350.02824,80.5,1.6144164,,
1350.02813,80.75,1.6092756,,
1350.03039,81,1.6189308,,
1350.03082,81.25,1.6194708,,
1350.02799,81.5,1.6266852,,
1350.02666,81.75,1.6230672,,
