#EXPORTTYPE:DATA SINGLE,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:29.01.2019 12:06,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:829.41,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:1200°C/04:00/1200°C,,,,
#SEGMENT:S4/4,,,,
#SEG. 4:1200°C/04:00/1200°C,,,,
,,,surface area,2.469012
##Temp./°C,Time/min,Mass loss(subtr.)/mg,,
1200.01664,83.75,0.8490664,,
1200.01863,84,0.8694285,,
1200.02158,84.25,0.8827821,,
1200.02571,84.5,0.8811236,,
1200.02449,84.75,0.8866341,,
1200.02278,85,0.8860456,,
1200.01853,85.25,0.8709586,,
1200.01776,85.5,0.886388,,
1200.01624,85.75,0.8837665,,
1200.01594,86,0.8797861,,
1200.01348,86.25,0.89559,,
1200.00989,86.5,0.9019886,,
1200.01065,86.75,0.9040644,,
1200.01058,87,0.8944451,,
1200.01434,87.25,0.8936961,,
1200.01527,87.5,0.9001696,,
1200.01433,87.75,0.8950336,,
1200.01675,88,0.8874366,,
1200.01505,88.25,0.8959966,,
1200.0164,88.5,0.900619,,
1200.01863,88.75,0.8979654,,
1200.01692,89,0.9099815,,
1200.01681,89.25,0.899014,,
1200.01676,89.5,0.89131,,
1200.01423,89.75,0.9026199,,
1200.01223,90,0.915599,,
1200.00587,90.25,0.8981366,,
1200.00194,90.5,0.9065254,,
1200.00264,90.75,0.9080234,,
1200.00946,91,0.9046315,,
1200.01275,91.25,0.9025236,,
1200.01728,91.5,0.9104416,,
1200.01593,91.75,0.9182205,,
1200.01645,92,0.9106984,,
1200.01752,92.25,0.913459,,
1200.01887,92.5,0.909714,,
1200.01946,92.75,0.9203926,,
1200.01993,93,0.9280645,,
1200.01952,93.25,0.9205531,,
1200.01822,93.5,0.9202535,,
1200.01741,93.75,0.9222009,,
1200.01559,94,0.9247261,,
1200.01819,94.25,0.9266735,,
1200.01836,94.5,0.9441145,,
1200.01741,94.75,0.9308251,,
1200.01706,95,0.9040216,,
1200.01629,95.25,0.922233,,
1200.01824,95.5,0.9280966,,
1200.01906,95.75,0.9268875,,
1200.01822,96,0.9026841,,
1200.01586,96.25,0.9131915,,
1200.01615,96.5,0.9416856,,
1200.0155,96.75,0.9273155,,
1200.01522,97,0.9354475,,
1200.01357,97.25,0.9381011,,
1200.01416,97.5,0.9324515,,
1200.01451,97.75,0.93732,,
1200.01716,98,0.9455376,,
1200.01722,98.25,0.936785,,
1200.01682,98.5,0.9443071,,
1200.01728,98.75,0.941814,,
1200.01682,99,0.9381011,,
1200.01629,99.25,0.941493,,
1200.0137,99.5,0.9488225,,
1200.01123,99.75,0.9470356,,
1200.01259,100,0.9460405,,
1200.01794,100.25,0.951658,,
1200.02018,100.5,0.9416856,,
1200.01871,100.75,0.9452915,,
1200.01688,101,0.9436116,,
1200.01506,101.25,0.9535626,,
1200.01458,101.5,0.9475599,,
1200.01228,101.75,0.9502135,,
1200.0114,102,0.9466076,,
1200.01122,102.25,0.9532416,,
1200.01453,102.5,0.9488546,,
1200.01918,102.75,0.9620691,,
1200.02136,103,0.951979,,
1200.02258,103.25,0.9536375,,
1200.02,103.5,0.957757,,
1200.01534,103.75,0.9559915,,
1200.01471,104,0.9669911,,
1200.01618,104.25,0.962465,,
1200.02265,104.5,0.9564516,,
1200.02594,104.75,0.9501065,,
1200.026,105,0.9565265,,
1200.02352,105.25,0.9656001,,
1200.02081,105.5,0.9647441,,
1200.01862,105.75,0.9736465,,
1200.01768,106,0.9628716,,
1200.01675,106.25,0.9681895,,
1200.01876,106.5,0.9692916,,
1200.0157,106.75,0.9629251,,
1200.01612,107,0.9744276,,
1200.0147,107.25,0.9715921,,
1200.01523,107.5,0.9639416,,
1200.01975,107.75,0.9719345,,
1200.01934,108,0.9734646,,
1200.01933,108.25,0.9764285,,
1200.0188,108.5,0.9687459,,
1200.02139,108.75,0.9775199,,
1200.02039,109,0.9737321,,
1200.01752,109.25,0.966317,,
1200.01406,109.5,0.9671516,,
1200.0143,109.75,0.9675261,,
1200.01323,110,0.9860264,,
1200.01788,110.25,0.9924785,,
1200.01934,110.5,0.989215,,
1200.02276,110.75,0.9869466,,
1200.02217,111,0.9869466,,
1200.02011,111.25,0.982367,,
1200.01782,111.5,0.9879096,,
1200.01552,111.75,0.9922966,,
1200.01106,112,0.9936555,,
1200.01364,112.25,0.9961165,,
1200.01624,112.5,0.9999685,,
1200.02148,112.75,0.92769,,
1200.02106,113,0.9496785,,
1200.01877,113.25,0.968243,,
1200.01845,113.5,0.9990269,,
1200.01952,113.75,1.0254345,,
1200.02046,114,1.0211866,,
1200.01871,114.25,1.0139641,,
1200.01506,114.5,0.9984491,,
1200.016,114.75,1.0116315,,
1200.01488,115,0.985042,,
1200.01924,115.25,1.0200845,,
1200.01878,115.5,1.0220319,,
1200.02018,115.75,1.0166391,,
1200.01629,116,1.0050831,,
1200.0194,116.25,1.0064741,,
1200.01722,116.5,1.00901,,
1200.01835,116.75,1.0143814,,
1200.01712,117,1.0048049,,
1200.01382,117.25,1.0093631,,
1200.01436,117.5,1.0063136,,
1200.01471,117.75,1.003339,,
1200.01746,118,1.007726,,
1200.01764,118.25,1.0073515,,
1200.01988,118.5,1.0079935,,
1200.01735,118.75,1.0132044,,
1200.01782,119,1.0146275,,
1200.01293,119.25,1.010829,,
1200.01577,119.5,1.0141995,,
1200.01747,119.75,1.0107006,,
1200.01795,120,1.0057786,,
1200.01736,120.25,1.0216146,,
1200.01718,120.5,1.0265045,,
1200.01666,120.75,1.0148629,,
1200.01742,121,1.0164786,,
1200.01778,121.25,1.0233159,,
1200.0186,121.5,1.0292651,,
1200.02041,121.75,1.0205874,,
1200.02217,122,1.0305705,,
1200.02034,122.25,1.0230591,,
1200.01957,122.5,1.030303,,
1200.0164,122.75,1.030089,,
1200.01563,123,1.0354711,,
1200.01651,123.25,1.0259909,,
1200.01644,123.5,1.0301425,,
1200.01692,123.75,1.0272535,,
1200.01722,124,1.0320899,,
1200.01764,124.25,1.019389,,
1200.01723,124.5,1.0409281,,
1200.01647,124.75,1.0239151,,
1200.02023,125,1.0200631,,
1200.02495,125.25,1.029126,,
1200.03065,125.5,1.0303565,,
1200.03177,125.75,1.031908,,
1200.02989,126,1.0354711,,
1200.02753,126.25,1.038114,,
1200.02836,126.5,1.0198384,,
1200.02825,126.75,1.039933,,
1200.02912,127,1.0402005,,
1200.02488,127.25,1.041966,,
1200.02328,127.5,1.038328,,
1200.02147,127.75,1.0389914,,
1200.019,128,1.0418911,,
1200.02035,128.25,1.0492955,,
1200.01776,128.5,1.0389165,,
1200.02047,128.75,1.0412491,,
1200.02194,129,1.043464,,
1200.02376,129.25,1.0472946,,
1200.02434,129.5,1.0396976,,
1200.02152,129.75,1.0546455,,
1200.02371,130,1.0446731,,
1200.02524,130.25,1.044748,,
1200.02824,130.5,1.0501301,,
1200.03054,130.75,1.0462674,,
1200.028,131,1.045925,,
1200.02547,131.25,1.0563789,,
1200.02031,131.5,1.0545171,,
1200.02066,131.75,1.0555015,,
1200.02255,132,1.0455184,,
1200.02324,132.25,1.0533615,,
